meta_ad_id,audit_creative_signature,final_classification,final_manual_category
1574333404047457,0aa72bda1fe5702f359cd8450c2b46471d1531c2be3880f8b8d1d85f9e1e585b,commercial,commercial_or_insufficient_evidence
2072546006984938,4244b74f975ad1d5d6a6b436bfdaa255c068b49f65016bf2d4fd792a1104f32d,commercial,commercial_or_insufficient_evidence
2087374658884832,7c2ad08c103908e4b986fc8d59ee99f2ab809b9d21683f8c58a29359f28ff406,commercial,commercial_or_insufficient_evidence
1694919528894911,7b8cece8fbb90c6385c510562aa3d58b59dd56125a4651809065b3e2949e4645,commercial,commercial_or_insufficient_evidence
2261031011393394,e1d6087a76509e9934fde35f3154a1d6c7369e6e08b971132c314cc169c83244,commercial,commercial_or_insufficient_evidence
1532275377827038,9aa0d28926b6d334ee7cc57c5c5ed7e4418a014a078b55d563279a95c664e3cd,commercial,commercial_or_insufficient_evidence
1563052132186206,7b8cece8fbb90c6385c510562aa3d58b59dd56125a4651809065b3e2949e4645,commercial,commercial_or_insufficient_evidence
2002244113997470,e1d6087a76509e9934fde35f3154a1d6c7369e6e08b971132c314cc169c83244,commercial,commercial_or_insufficient_evidence
1028534646328237,438ba07300ccc4ca174969be5decd96346f26f92a9f527853df7d2a96b6ef76f,commercial,sustainability_brand
1554414739697439,fc418ff156165d4f421581106bcfe67f202c6d3116c673de483fce71b471cdb0,commercial,sustainability_brand
1992376798053207,a3ff6a0aebc048999202d8090cb59d84748750b16e872f07ba5e0d4ddabe25b6,commercial,sustainability_brand
2262183251198460,aa43f4587485b388c788d68bfc6e53226be3a24b1abd8500de4d6a442deaa9f0,commercial,sustainability_brand
2050245525576650,b01d97542048d0b5f3210b05cda4c9c7ba47568d1ca7ed729dd6bc78fab12077,commercial,sustainability_brand
2128781571371974,cc3e34dd295aa0f2e125d8f179f93af1c4b0e4b4e0beb9f22fe4a35f23d6ced8,commercial,sustainability_brand
1359215652801813,b1469225ffd8b84ed184f523e1d8a913f8d28ef52e05a558d0be8166234d99ac,commercial,sustainability_brand
1005654998991513,c675e859ee2ce15244d3520257d5b87380f6a75e514f2e331e45a283e7d0005b,commercial,sustainability_brand
1025625910009276,482dd0a1784a11415207a0dfbcb230b30ee35b63e2fecf42ca83b6a18ad290b2,commercial,sustainability_brand
1963844850935934,3b7226cab2b52c16364fe2444e380c6b39a352a67dd73c0998ff5a443f712dc9,commercial,sustainability_brand
26827394423611883,0f35721f30b99473d3bf51bce6b3cd030ecb65be89475e5c08a021ff573f9aed,commercial,commercial_or_insufficient_evidence
2089767855755901,58e52525a0120ee7c5b2a3ae88ba3bd6ee748d2596d21f12101d710ab2c64574,commercial,commercial_or_insufficient_evidence
1696071708299500,2e3be609d32315a5b5d883bc50086dcc6d831237f9c6be5d2bf1651a9d3cfca6,commercial,commercial_or_insufficient_evidence
807537412289802,3cf7891d8f31fb6b8357c566c1f7b15ac3776232f4c7b11020690f11966391b6,commercial,commercial_or_insufficient_evidence
1363955672221843,340c960b8212931e0b74bfe019dd52c6016419b3680a5b8fcb067848e919d34b,commercial,commercial_or_insufficient_evidence
1764015561643849,08a630fe2a521f06d4ac1ea2e141948777ed893a15d7d4b989227c65b618f6fe,commercial,commercial_or_insufficient_evidence
950178807629904,347b5887a476d054d470a878ad75666a247ccbc1637440299c3327e8fd957557,commercial,commercial_or_insufficient_evidence
