creative_signature_hash,target_gender,target_ages,platform_category,search_brand,sector,age_scope,configuration_ad_id_count,de_male,de_female,de_unknown,de_age_13_17,de_age_18_24,de_age_25_34,de_age_35_44,de_age_45_54,de_age_55_64,de_age_65_plus,de_age_unknown,known_gender_reach,known_adult_reach,female_delivery_share,adult_18_34_share,gender_data_usable,age_data_usable,has_unknown_gender,has_unknown_age
002b059afb3c70e87c3f58cdde6adde80679ab37a82149b1410f1a6f86cb6d39,Women,"[""30"",""65""]",Instagram-only,Bonprix,fashion,Narrow,1,0.0,306822.0,0.0,0.0,0.0,68926.0,95750.0,67729.0,52597.0,21807.0,13.0,306822.0,306809.0,1.0,0.22465442669543592,1,1,0.0,1.0
003070caa389211268773f7a130d8ff398ea0b219f18d27b87e0664640dbb04c,All,"[""18"",""39""]",Instagram-only,Penny,grocery,Narrow,1,1051740.0,439423.0,488542.0,0.0,673752.0,1025737.0,280165.0,0.0,0.0,0.0,51.0,1491163.0,1979654.0,0.2946847527735063,0.8584777946045117,1,1,1.0,1.0
0033c556f3eee4a0effb4139e06e695f547482856803dbb6c1bcbb250b60e4e1,All,"[""20"",""59""]",Both,Bauhaus,home,Narrow,3,13571.0,2943.0,104.0,0.0,402.0,5024.0,6314.0,3609.0,1269.0,0.0,0.0,16514.0,16618.0,0.1782124258205159,0.32651341918401733,1,1,1.0,0.0
00342393170ef12318e0c5184428e631e4f27596b63e41b18f9e3dd6a0fd6cd6,All,"[""18"",""65""]",Instagram-only,Bauhaus,home,Broad,1,147076.0,59736.0,119856.0,0.0,103754.0,107588.0,46163.0,31543.0,26655.0,10965.0,0.0,206812.0,326668.0,0.2888420401137265,0.6469626654585083,1,1,1.0,0.0
003541f72cc65f4d0209329068383741e23b08222af98cd496c9e3d0a19b1b67,All,"[""18"",""59""]",Both,Bauhaus,home,Narrow,19,723558.0,353482.0,0.0,0.0,116093.0,278415.0,269713.0,263097.0,149722.0,0.0,0.0,1077040.0,1077040.0,0.32819765282626456,0.3662890886132363,1,1,0.0,0.0
003705d3e3a009abe7bd5f3529938a782d300d16ad009bb0333f8b38a0a3744d,All,"[""18"",""65""]",Other,OBI,home,Broad,4,2947203.0,2212943.0,198363.0,0.0,261766.0,999722.0,1307679.0,1134474.0,1072329.0,582496.0,43.0,5160146.0,5358466.0,0.4288527882738202,0.23541961449414814,1,1,1.0,1.0
0038e81a893ba418638c170d31264e3b4da1734f7782315c2fbe9d86b8afdf7b,All,"[""18"",""65""]",Facebook-only,Kaufland,grocery,Broad,1,5173.0,22365.0,256.0,0.0,6299.0,10335.0,6773.0,2295.0,1246.0,846.0,0.0,27538.0,27794.0,0.8121504829689883,0.598474490897316,1,1,1.0,0.0
003d3844ec5420b09dc68d22da950074cf4fae514273cf3d0a7c478488899b24,All,"[""18"",""65""]",Instagram-only,Zalando,fashion,Broad,2,2871.0,20583.0,8496.0,0.0,3117.0,9328.0,8318.0,5539.0,4628.0,1020.0,0.0,23454.0,31950.0,0.8775901765157329,0.3895148669796557,1,1,1.0,0.0
003df01ea2e86ad0cb3169d57a4967038762d11a361c24907cc10c94285fe156,All,"[""18"",""65""]",Both,Hornbach,home,Broad,1,164984.0,29250.0,26304.0,0.0,26435.0,57595.0,41807.0,23605.0,33351.0,37745.0,0.0,194234.0,220538.0,0.15059155451671696,0.38102277158584913,1,1,1.0,0.0
003f3e11cbca4021c1a537c857591860d2658f8997b4d5694ad831733739afa2,Women,"[""18"",""65""]",Both,Bonprix,fashion,Broad,1,0.0,236352.0,0.0,0.0,979.0,6495.0,22500.0,55419.0,97614.0,53344.0,1.0,236352.0,236351.0,1.0,0.03162245981612094,1,1,0.0,1.0
